doc_id,nom_document,version,statut,date_mise_a_jour,responsable,discipline,criticite,type_document,projet,conformite,nb_revisions,commentaire
BTP-2024-0001,Plan d'exécution Plomberie - A89 - Lot 1,B,Archivé,2026-04-06,Martin T.,Plomberie,Haute,Plan d'exécution,A89 Tunnel Est,Conforme,3,
BTP-2024-0002,CCTP CVC - A89 - Lot 1,E,Archivé,2026-04-27,,CVC,Moyenne,CCTP,A89 Tunnel Est,Conforme,2,
BTP-2024-0003,Fiche de contrôle Plomberie - Stade - Lot 5,C,Archivé,2026-05-17,Durand K.,Plomberie,Haute,Fiche de contrôle,Stade Bordeaux,Conforme,0,
BTP-2024-0004,Fiche de contrôle Plomberie - A89 - Lot 1,,Archivé,,Petit A.,Plomberie,Moyenne,Fiche de contrôle,A89 Tunnel Est,Non conforme,3,
BTP-2024-0005,PV de réception Façade - A89 - Lot 3,D,Draft,2026-05-06,Petit A.,Façade,Faible,PV de réception,A89 Tunnel Est,Conforme,1,
BTP-2024-0006,DOE CVC - Grand - Lot 1,D,Validé,2025-11-07,Martin T.,CVC,Haute,DOE,Grand Paris Ligne 16,Conforme,0,
BTP-2024-0007,PV de réception Façade - Viaduc - Lot 4,E,Validé,2025-10-15,Martin T.,Façade,Haute,PV de réception,Viaduc Saône,Conforme,4,
BTP-2024-0008,Note de calcul Génie civil - Stade - Lot 4,E,En révision,2024-10-12,Lefebvre M.,Génie civil,Moyenne,Note de calcul,Stade Bordeaux,Conforme,0,
BTP-2024-0009,Plan d'exécution Façade - Grand - Lot 5,D,En révision,2026-04-15,Durand K.,Façade,Faible,Plan d'exécution,Grand Paris Ligne 16,En attente,8,
BTP-2024-0010,Plan d'exécution Façade - A89 - Lot 1,C,En révision,2026-04-04,Petit A.,Façade,Moyenne,Plan d'exécution,A89 Tunnel Est,Conforme,4,
BTP-2024-0011,Note de calcul CVC - A89 - Lot 5,E,Obsolète,2026-04-15,Lefebvre M.,CVC,Haute,Note de calcul,A89 Tunnel Est,Conforme,5,
BTP-2024-0012,Plan d'exécution Électricité - A89 - Lot 1,,Manquant,,Lefebvre M.,Électricité,Faible,Plan d'exécution,A89 Tunnel Est,Non conforme,7,
BTP-2024-0013,Plan d'exécution Façade - Grand - Lot 2,E,Validé,2024-03-17,Petit A.,Façade,Moyenne,Plan d'exécution,Grand Paris Ligne 16,Non conforme,4,
BTP-2024-0014,DOE Électricité - Stade - Lot 2,A,Validé,2026-05-08,Rousseau S.,Électricité,Moyenne,DOE,Stade Bordeaux,Conforme,3,
BTP-2024-0015,Plan d'exécution Structure - A89 - Lot 5,C,Validé,2026-05-19,Martin T.,Structure,Faible,Plan d'exécution,A89 Tunnel Est,Conforme,7,
BTP-2024-0016,Fiche de contrôle Génie civil - Viaduc - Lot 1,D,Validé,2026-05-01,Lefebvre M.,Génie civil,Critique,Fiche de contrôle,Viaduc Saône,Conforme,6,
BTP-2024-0017,PV de réception Plomberie - A89 - Lot 1,D,Validé,2026-05-15,Bernard C.,Plomberie,Haute,PV de réception,A89 Tunnel Est,Conforme,8,
BTP-2024-0018,Plan d'exécution Structure - A89 - Lot 4,,Manquant,,Lefebvre M.,Structure,Faible,Plan d'exécution,A89 Tunnel Est,Non conforme,2,
BTP-2024-0019,Plan d'exécution Électricité - Viaduc - Lot 1,D,Validé,2026-05-05,Rousseau S.,Électricité,Faible,Plan d'exécution,Viaduc Saône,Conforme,8,
BTP-2024-0020,DOE Structure - Stade - Lot 2,E,Validé,2026-03-26,Lefebvre M.,Structure,Moyenne,DOE,Stade Bordeaux,Conforme,1,
BTP-2024-0021,Note de calcul Plomberie - Viaduc - Lot 5,B,Validé,2025-05-25,Rousseau S.,Plomberie,Faible,Note de calcul,Viaduc Saône,Conforme,8,
BTP-2024-0022,PV de réception VRD - Grand - Lot 1,C,En révision,2026-04-28,Lefebvre M.,VRD,Haute,PV de réception,Grand Paris Ligne 16,En attente,7,
BTP-2024-0023,CCTP CVC - A89 - Lot 2,C,Validé,2025-03-15,Bernard C.,CVC,Haute,CCTP,A89 Tunnel Est,Conforme,8,
BTP-2024-0024,PV de réception Plomberie - A89 - Lot 5,A,En révision,2026-03-28,Martin T.,Plomberie,Moyenne,PV de réception,A89 Tunnel Est,Conforme,4,
BTP-2024-0025,CCTP VRD - Grand - Lot 1,C,En révision,2024-09-09,Petit A.,VRD,Haute,CCTP,Grand Paris Ligne 16,En attente,6,
BTP-2024-0026,PV de réception Façade - A89 - Lot 2,C,Validé,2026-05-13,Rousseau S.,Façade,Faible,PV de réception,A89 Tunnel Est,Conforme,0,
BTP-2024-0027,PV de réception Façade - Grand - Lot 1,C,Validé,2026-03-27,Durand K.,Façade,Critique,PV de réception,Grand Paris Ligne 16,Conforme,8,
BTP-2024-0028,Fiche de contrôle Façade - Grand - Lot 3,,Manquant,,,Façade,Haute,Fiche de contrôle,Grand Paris Ligne 16,Non conforme,6,
BTP-2024-0029,DOE Façade - Grand - Lot 4,A,Validé,2026-04-29,Durand K.,Façade,Faible,DOE,Grand Paris Ligne 16,Conforme,4,
BTP-2024-0030,Note de calcul Façade - Grand - Lot 5,C,Validé,2026-05-06,Durand K.,Façade,Haute,Note de calcul,Grand Paris Ligne 16,Conforme,0,
BTP-2024-0031,PV de réception Structure - Grand - Lot 4,A,Validé,2026-05-17,Rousseau S.,Structure,Faible,PV de réception,Grand Paris Ligne 16,Conforme,8,
BTP-2024-0032,Fiche de contrôle Structure - Grand - Lot 3,A,Validé,2026-04-20,Rousseau S.,Structure,Moyenne,Fiche de contrôle,Grand Paris Ligne 16,Conforme,5,
BTP-2024-0033,Plan d'exécution Plomberie - Stade - Lot 4,C,Validé,2026-04-28,Petit A.,Plomberie,Moyenne,Plan d'exécution,Stade Bordeaux,Conforme,2,
BTP-2024-0034,CCTP CVC - Stade - Lot 3,C,Validé,2025-12-08,Bernard C.,CVC,Faible,CCTP,Stade Bordeaux,Conforme,7,
BTP-2024-0035,DOE Électricité - Grand - Lot 3,B,Validé,2026-04-11,Lefebvre M.,Électricité,Faible,DOE,Grand Paris Ligne 16,Conforme,3,
BTP-2024-0036,PV de réception Plomberie - Grand - Lot 5,A,Obsolète,2026-05-08,Martin T.,Plomberie,Haute,PV de réception,Grand Paris Ligne 16,En attente,6,
BTP-2024-0037,Fiche de contrôle Électricité - Grand - Lot 5,A,Validé,2026-04-04,Bernard C.,Électricité,Moyenne,Fiche de contrôle,Grand Paris Ligne 16,Non conforme,0,
BTP-2024-0038,Note de calcul CVC - A89 - Lot 5,E,Validé,2024-07-04,,CVC,Faible,Note de calcul,A89 Tunnel Est,Non conforme,8,
BTP-2024-0039,CCTP Électricité - Viaduc - Lot 5,D,Obsolète,2025-11-13,Bernard C.,Électricité,Moyenne,CCTP,Viaduc Saône,Conforme,3,
BTP-2024-0040,Fiche de contrôle VRD - A89 - Lot 2,C,En révision,2026-05-03,Petit A.,VRD,Haute,Fiche de contrôle,A89 Tunnel Est,Conforme,3,
BTP-2024-0041,Fiche de contrôle Structure - Viaduc - Lot 1,A,Validé,2024-04-21,,Structure,Moyenne,Fiche de contrôle,Viaduc Saône,Conforme,6,
BTP-2024-0042,Plan d'exécution Électricité - Stade - Lot 4,D,Validé,2026-04-19,Lefebvre M.,Électricité,Moyenne,Plan d'exécution,Stade Bordeaux,Conforme,6,
BTP-2024-0043,DOE VRD - Viaduc - Lot 1,B,En révision,2025-04-27,Lefebvre M.,VRD,Faible,DOE,Viaduc Saône,Non conforme,6,
BTP-2024-0044,Fiche de contrôle Génie civil - Grand - Lot 4,B,Validé,2025-10-09,Durand K.,Génie civil,Moyenne,Fiche de contrôle,Grand Paris Ligne 16,Conforme,1,
BTP-2024-0045,Plan d'exécution Électricité - A89 - Lot 2,,Manquant,,,Électricité,Haute,Plan d'exécution,A89 Tunnel Est,Non conforme,0,
BTP-2024-0046,Note de calcul CVC - Grand - Lot 5,E,Validé,2025-07-30,Petit A.,CVC,Moyenne,Note de calcul,Grand Paris Ligne 16,Conforme,1,
BTP-2024-0047,Note de calcul Façade - Stade - Lot 5,C,Validé,2024-04-13,Petit A.,Façade,Critique,Note de calcul,Stade Bordeaux,Conforme,3,
BTP-2024-0048,DOE Structure - Stade - Lot 3,A,Obsolète,2026-04-03,Lefebvre M.,Structure,Moyenne,DOE,Stade Bordeaux,Non conforme,8,
BTP-2024-0049,PV de réception Plomberie - A89 - Lot 5,A,Obsolète,2025-09-21,Petit A.,Plomberie,Faible,PV de réception,A89 Tunnel Est,Non conforme,4,
BTP-2024-0050,CCTP CVC - Viaduc - Lot 4,E,Validé,2025-10-11,Martin T.,CVC,Faible,CCTP,Viaduc Saône,Conforme,7,
BTP-2024-0051,CCTP CVC - Viaduc - Lot 3,C,Validé,2026-05-12,Rousseau S.,CVC,Moyenne,CCTP,Viaduc Saône,Conforme,4,
BTP-2024-0052,Plan d'exécution CVC - Grand - Lot 1,D,Validé,2025-11-22,Lefebvre M.,CVC,Moyenne,Plan d'exécution,Grand Paris Ligne 16,Conforme,4,
BTP-2024-0053,Fiche de contrôle Génie civil - Grand - Lot 3,D,Validé,2026-04-18,Durand K.,Génie civil,Moyenne,Fiche de contrôle,Grand Paris Ligne 16,Conforme,7,
BTP-2024-0054,PV de réception VRD - Stade - Lot 3,C,Validé,2026-05-16,Petit A.,VRD,Moyenne,PV de réception,Stade Bordeaux,Conforme,8,
BTP-2024-0055,PV de réception CVC - A89 - Lot 1,C,Obsolète,2025-10-22,Lefebvre M.,CVC,Haute,PV de réception,A89 Tunnel Est,Conforme,8,
BTP-2024-0056,DOE VRD - Grand - Lot 2,A,En révision,2026-03-29,Lefebvre M.,VRD,Faible,DOE,Grand Paris Ligne 16,Non conforme,4,
BTP-2024-0057,Fiche de contrôle Façade - A89 - Lot 3,A,Obsolète,2026-04-17,Lefebvre M.,Façade,Moyenne,Fiche de contrôle,A89 Tunnel Est,Non conforme,3,
BTP-2024-0058,CCTP Structure - Viaduc - Lot 5,B,En révision,2026-04-04,Bernard C.,Structure,Faible,CCTP,Viaduc Saône,Non conforme,4,
BTP-2024-0059,CCTP CVC - A89 - Lot 2,B,En révision,2025-12-07,Rousseau S.,CVC,Moyenne,CCTP,A89 Tunnel Est,Conforme,1,
BTP-2024-0060,Plan d'exécution Génie civil - Viaduc - Lot 4,C,Validé,2025-11-27,Lefebvre M.,Génie civil,Moyenne,Plan d'exécution,Viaduc Saône,Conforme,3,
BTP-2024-0061,DOE VRD - Grand - Lot 3,B,Validé,2026-03-26,Rousseau S.,VRD,Moyenne,DOE,Grand Paris Ligne 16,Conforme,4,
BTP-2024-0062,Plan d'exécution Électricité - Viaduc - Lot 4,C,En révision,2026-04-21,Petit A.,Électricité,Moyenne,Plan d'exécution,Viaduc Saône,Non conforme,5,
BTP-2024-0063,PV de réception CVC - A89 - Lot 2,E,Validé,2026-04-16,Bernard C.,CVC,Faible,PV de réception,A89 Tunnel Est,Conforme,8,
BTP-2024-0064,Fiche de contrôle Plomberie - Stade - Lot 1,D,Validé,2026-05-18,,Plomberie,Moyenne,Fiche de contrôle,Stade Bordeaux,Conforme,2,
BTP-2024-0065,Fiche de contrôle VRD - Viaduc - Lot 4,E,Validé,2026-05-21,,VRD,Faible,Fiche de contrôle,Viaduc Saône,Conforme,8,
BTP-2024-0066,Plan d'exécution Façade - Viaduc - Lot 5,C,Validé,2025-07-13,Martin T.,Façade,Haute,Plan d'exécution,Viaduc Saône,Conforme,4,
BTP-2024-0067,DOE Électricité - Viaduc - Lot 4,E,Validé,2026-04-02,Lefebvre M.,Électricité,Faible,DOE,Viaduc Saône,Conforme,3,
BTP-2024-0068,Plan d'exécution Façade - Viaduc - Lot 4,,Manquant,,,Façade,Moyenne,Plan d'exécution,Viaduc Saône,Non conforme,7,
BTP-2024-0069,Note de calcul Électricité - Viaduc - Lot 4,E,Validé,2026-04-21,Durand K.,Électricité,Moyenne,Note de calcul,Viaduc Saône,Conforme,8,
BTP-2024-0070,Plan d'exécution VRD - Stade - Lot 3,E,En révision,2026-04-11,Rousseau S.,VRD,Faible,Plan d'exécution,Stade Bordeaux,Non conforme,8,
BTP-2024-0071,Fiche de contrôle Électricité - Stade - Lot 3,B,Obsolète,2024-09-27,Petit A.,Électricité,Faible,Fiche de contrôle,Stade Bordeaux,Non conforme,7,
BTP-2024-0072,Fiche de contrôle Plomberie - Viaduc - Lot 5,,Manquant,,Durand K.,Plomberie,Faible,Fiche de contrôle,Viaduc Saône,Non conforme,1,
BTP-2024-0073,Fiche de contrôle Façade - A89 - Lot 3,B,Validé,2026-04-27,Rousseau S.,Façade,Moyenne,Fiche de contrôle,A89 Tunnel Est,Non conforme,6,
BTP-2024-0074,Plan d'exécution Plomberie - Stade - Lot 3,D,Obsolète,2025-07-19,Martin T.,Plomberie,Faible,Plan d'exécution,Stade Bordeaux,Conforme,1,
BTP-2024-0075,Plan d'exécution Électricité - A89 - Lot 2,A,Validé,2026-05-21,Martin T.,Électricité,Moyenne,Plan d'exécution,A89 Tunnel Est,Conforme,8,
BTP-2024-0076,CCTP Électricité - Grand - Lot 4,D,Validé,2024-01-01,Petit A.,Électricité,Critique,CCTP,Grand Paris Ligne 16,Conforme,4,
BTP-2024-0077,PV de réception Électricité - A89 - Lot 5,C,Obsolète,2026-04-10,Durand K.,Électricité,Moyenne,PV de réception,A89 Tunnel Est,En attente,6,
BTP-2024-0078,PV de réception Plomberie - Viaduc - Lot 5,D,Obsolète,2026-03-30,Durand K.,Plomberie,Haute,PV de réception,Viaduc Saône,Non conforme,4,
BTP-2024-0079,DOE Structure - Viaduc - Lot 3,A,Validé,2025-07-14,Martin T.,Structure,Moyenne,DOE,Viaduc Saône,Conforme,3,
BTP-2024-0080,PV de réception CVC - Grand - Lot 1,A,En révision,2026-05-04,Durand K.,CVC,Faible,PV de réception,Grand Paris Ligne 16,En attente,5,
BTP-2024-0081,Fiche de contrôle Plomberie - Grand - Lot 4,C,Validé,2025-07-12,,Plomberie,Faible,Fiche de contrôle,Grand Paris Ligne 16,Conforme,4,
BTP-2024-0082,PV de réception Plomberie - A89 - Lot 3,B,Validé,2026-03-29,Rousseau S.,Plomberie,Critique,PV de réception,A89 Tunnel Est,Conforme,1,
BTP-2024-0083,PV de réception Électricité - Stade - Lot 5,C,Validé,2026-05-17,Durand K.,Électricité,Faible,PV de réception,Stade Bordeaux,Non conforme,3,
BTP-2024-0084,Plan d'exécution Plomberie - Viaduc - Lot 4,D,Obsolète,2025-04-08,Lefebvre M.,Plomberie,Haute,Plan d'exécution,Viaduc Saône,Conforme,1,
BTP-2024-0085,CCTP Génie civil - Grand - Lot 4,E,Validé,2024-12-17,Rousseau S.,Génie civil,Moyenne,CCTP,Grand Paris Ligne 16,Conforme,6,
BTP-2024-0086,Plan d'exécution VRD - Stade - Lot 3,B,Validé,2025-02-12,Lefebvre M.,VRD,Moyenne,Plan d'exécution,Stade Bordeaux,Conforme,6,
BTP-2024-0087,Note de calcul VRD - A89 - Lot 3,,Manquant,,Martin T.,VRD,Faible,Note de calcul,A89 Tunnel Est,Non conforme,2,
BTP-2024-0088,CCTP Façade - Grand - Lot 5,B,Validé,2026-04-16,Lefebvre M.,Façade,Faible,CCTP,Grand Paris Ligne 16,Conforme,4,
BTP-2024-0089,Note de calcul Façade - Grand - Lot 2,A,Validé,2026-04-11,Rousseau S.,Façade,Faible,Note de calcul,Grand Paris Ligne 16,Conforme,5,
BTP-2024-0090,Note de calcul Structure - Stade - Lot 5,E,Validé,2026-05-16,Lefebvre M.,Structure,Moyenne,Note de calcul,Stade Bordeaux,Conforme,7,
BTP-2024-0091,Note de calcul CVC - A89 - Lot 4,E,En révision,2026-05-04,Bernard C.,CVC,Faible,Note de calcul,A89 Tunnel Est,Non conforme,1,
BTP-2024-0092,DOE Électricité - Viaduc - Lot 5,E,Validé,2026-05-14,Petit A.,Électricité,Critique,DOE,Viaduc Saône,Conforme,5,
BTP-2024-0093,CCTP Électricité - Stade - Lot 4,A,Validé,2026-04-03,Durand K.,Électricité,Moyenne,CCTP,Stade Bordeaux,Non conforme,7,
BTP-2024-0094,Fiche de contrôle Électricité - A89 - Lot 1,C,Validé,2026-04-30,Bernard C.,Électricité,Haute,Fiche de contrôle,A89 Tunnel Est,Conforme,1,
BTP-2024-0095,DOE Plomberie - Stade - Lot 4,E,Obsolète,2025-06-11,,Plomberie,Moyenne,DOE,Stade Bordeaux,Non conforme,0,
BTP-2024-0096,CCTP VRD - Stade - Lot 5,B,Validé,2025-07-22,Durand K.,VRD,Moyenne,CCTP,Stade Bordeaux,Conforme,1,
BTP-2024-0097,PV de réception Façade - Grand - Lot 3,E,Obsolète,2025-06-13,Lefebvre M.,Façade,Faible,PV de réception,Grand Paris Ligne 16,Non conforme,2,
BTP-2024-0098,DOE VRD - Stade - Lot 1,,Manquant,,Lefebvre M.,VRD,Moyenne,DOE,Stade Bordeaux,Non conforme,8,
BTP-2024-0099,Fiche de contrôle Génie civil - Viaduc - Lot 5,C,Validé,2025-02-27,Lefebvre M.,Génie civil,Haute,Fiche de contrôle,Viaduc Saône,Conforme,1,
BTP-2024-0100,Fiche de contrôle VRD - Viaduc - Lot 5,C,Validé,2026-05-10,Bernard C.,VRD,Moyenne,Fiche de contrôle,Viaduc Saône,Conforme,8,
BTP-2024-0101,PV de réception Plomberie - A89 - Lot 3,A,Validé,2024-07-20,Durand K.,Plomberie,Faible,PV de réception,A89 Tunnel Est,Conforme,5,
BTP-2024-0102,Plan d'exécution Structure - Viaduc - Lot 3,D,En révision,2026-04-19,Lefebvre M.,Structure,Haute,Plan d'exécution,Viaduc Saône,Non conforme,6,
BTP-2024-0103,DOE Façade - A89 - Lot 4,A,Validé,2026-03-29,Durand K.,Façade,Moyenne,DOE,A89 Tunnel Est,Conforme,1,
BTP-2024-0104,Plan d'exécution Électricité - Stade - Lot 4,D,Validé,2026-03-31,Rousseau S.,Électricité,Faible,Plan d'exécution,Stade Bordeaux,Conforme,6,
BTP-2024-0105,Plan d'exécution CVC - Viaduc - Lot 5,B,Obsolète,2026-05-02,Martin T.,CVC,Moyenne,Plan d'exécution,Viaduc Saône,Conforme,5,
BTP-2024-0106,DOE VRD - Grand - Lot 4,B,Validé,2026-05-12,Bernard C.,VRD,Haute,DOE,Grand Paris Ligne 16,Conforme,7,
BTP-2024-0107,CCTP Plomberie - Stade - Lot 3,B,Obsolète,2026-04-25,Rousseau S.,Plomberie,Moyenne,CCTP,Stade Bordeaux,Conforme,0,
BTP-2024-0108,CCTP VRD - A89 - Lot 1,A,Validé,2025-10-30,Rousseau S.,VRD,Moyenne,CCTP,A89 Tunnel Est,Non conforme,8,
BTP-2024-0109,Fiche de contrôle Électricité - A89 - Lot 1,B,Validé,2026-05-03,,Électricité,Faible,Fiche de contrôle,A89 Tunnel Est,Conforme,5,
BTP-2024-0110,Plan d'exécution Plomberie - Grand - Lot 4,D,Validé,2026-04-20,Bernard C.,Plomberie,Moyenne,Plan d'exécution,Grand Paris Ligne 16,Non conforme,5,
BTP-2024-0111,CCTP Plomberie - A89 - Lot 5,A,En révision,2026-05-02,,Plomberie,Moyenne,CCTP,A89 Tunnel Est,En attente,2,
BTP-2024-0112,Plan d'exécution VRD - Grand - Lot 3,D,Obsolète,2026-05-15,,VRD,Haute,Plan d'exécution,Grand Paris Ligne 16,Conforme,2,
BTP-2024-0113,DOE Plomberie - A89 - Lot 4,C,En révision,2026-05-22,Martin T.,Plomberie,Moyenne,DOE,A89 Tunnel Est,Conforme,3,
BTP-2024-0114,Note de calcul Génie civil - A89 - Lot 5,E,Validé,2025-06-22,Martin T.,Génie civil,Faible,Note de calcul,A89 Tunnel Est,Non conforme,6,
BTP-2024-0115,Note de calcul Génie civil - Grand - Lot 2,B,Obsolète,2026-04-07,Bernard C.,Génie civil,Faible,Note de calcul,Grand Paris Ligne 16,Non conforme,4,
BTP-2024-0116,DOE Façade - Viaduc - Lot 4,D,Validé,2025-12-16,Bernard C.,Façade,Haute,DOE,Viaduc Saône,Conforme,4,
BTP-2024-0117,Fiche de contrôle Façade - Viaduc - Lot 3,,Manquant,,Rousseau S.,Façade,Faible,Fiche de contrôle,Viaduc Saône,Non conforme,1,
BTP-2024-0118,CCTP Plomberie - A89 - Lot 2,C,Validé,2025-07-06,,Plomberie,Faible,CCTP,A89 Tunnel Est,Conforme,7,
BTP-2024-0119,Plan d'exécution VRD - Viaduc - Lot 1,B,Validé,2026-04-29,,VRD,Moyenne,Plan d'exécution,Viaduc Saône,Conforme,5,
BTP-2024-0120,Note de calcul Façade - Grand - Lot 1,D,Validé,2026-04-09,Lefebvre M.,Façade,Faible,Note de calcul,Grand Paris Ligne 16,Conforme,4,
BTP-2024-0121,Note de calcul Génie civil - Viaduc - Lot 4,C,Validé,2026-05-16,Lefebvre M.,Génie civil,Haute,Note de calcul,Viaduc Saône,Conforme,1,
BTP-2024-0122,Fiche de contrôle Façade - A89 - Lot 4,B,En révision,2025-08-18,Martin T.,Façade,Moyenne,Fiche de contrôle,A89 Tunnel Est,Conforme,1,
BTP-2024-0123,PV de réception CVC - A89 - Lot 1,,Manquant,,Petit A.,CVC,Moyenne,PV de réception,A89 Tunnel Est,Non conforme,6,
BTP-2024-0124,PV de réception VRD - A89 - Lot 3,B,Validé,2026-04-07,,VRD,Critique,PV de réception,A89 Tunnel Est,Conforme,2,
BTP-2024-0125,DOE Façade - Viaduc - Lot 4,,Manquant,,Lefebvre M.,Façade,Moyenne,DOE,Viaduc Saône,Non conforme,4,
BTP-2024-0126,Plan d'exécution Génie civil - Grand - Lot 2,C,Obsolète,2026-04-21,Durand K.,Génie civil,Haute,Plan d'exécution,Grand Paris Ligne 16,En attente,5,
BTP-2024-0127,Plan d'exécution Façade - Stade - Lot 2,D,Validé,2024-02-29,Bernard C.,Façade,Faible,Plan d'exécution,Stade Bordeaux,Conforme,7,
